Objects, 1
Object:, First Vertice:, Vertices:, First Triangle:, Triangles:
Cylinder.001, 1, 66, 1, 192

Vertices, 66
Vertice:, X:, Y:, Z:
1, -0.01944668171927333, -2.2107360661029816, -2.03714182972908
2, -0.08375061862170696, -2.203667163848877, -2.03714182972908
3, -0.1454398911446333, -2.1841889917850494, -2.03714182972908
4, -0.20214381627738476, -2.153050035238266, -2.03714182972908
5, -0.25168329291045666, -2.111447036266327, -2.03714182972908
6, -0.2921545337885618, -2.0609788298606873, -2.03714182972908
7, -0.322002274915576, -2.003584749996662, -2.03714182972908
8, -0.3400794696062803, -1.9414705485105515, -2.03714182972908
9, -0.34569148533046246, -1.8770231227390468, -2.03714182972908
10, -0.33862252347171307, -1.8127191960811615, -2.03714182972908
11, -0.31914435140788555, -1.7510299533605576, -2.03714182972908
12, -0.2880054544657469, -1.694326028227806, -2.03714182972908
13, -0.24640248529613018, -1.6447865813970566, -2.03714182972908
14, -0.19593423418700695, -1.604315310716629, -2.03714182972908
15, -0.13854012452065945, -1.5744674801826477, -2.03714182972908
16, -0.07642585970461369, -1.5563902854919434, -2.03714182972908
17, -0.011978390393778682, -1.5507783591747284, -2.03714182972908
18, 0.05232556350529194, -1.5578473210334778, -2.03714182972908
19, 0.11401485092937946, -1.5773255825042725, -2.03714182972908
20, 0.17071879096329212, -1.608464390039444, -2.03714182972908
21, 0.22025825269520283, -1.650067389011383, -2.03714182972908
22, 0.2607294786721468, -1.7005357593297958, -2.03714182972908
23, 0.29057721979916096, -1.7579298242926598, -2.03714182972908
24, 0.3086543548852205, -1.8200441971421242, -2.03714182972908
25, 0.3142662514001131, -1.8844916212838143, -2.03714182972908
26, 0.30719725973904133, -1.9487955421209335, -2.03714182972908
27, 0.28771899826824665, -2.0104849338531494, -2.03714182972908
28, 0.2565800119191408, -2.067188709974289, -2.03714182972908
29, 0.21497699804604053, -2.1167281419038773, -2.03714182972908
30, 0.16450868733227253, -2.157199442386627, -2.03714182972908
31, 0.10711455531418324, -2.187047064304352, -2.03714182972908
32, 0.04500024579465389, -2.2051241397857666, -2.03714182972908
33, -0.019447211641818285, -2.2107360661029816, -1.4821418821811676
34, -0.08375116996467113, -2.203667014837265, -1.4821418821811676
35, -0.14544041268527508, -2.184188663959503, -1.4821418821811676
36, -0.20214432291686535, -2.153049737215042, -1.4821418821811676
37, -0.2516837399452925, -2.111446723341942, -1.4821418821811676
38, -0.2921548914164305, -2.060978353023529, -1.4821418821811676
39, -0.32200254313647747, -2.003584124147892, -1.4821418821811676
40, -0.34007964842021465, -1.9414699152112007, -1.4821418821811676
